Unnamed: 0,region,tenure,age,income,marital,address,ed,employ,retire,gender,reside,custcat,0
0,2,13,44,64,False,9,4,5,0,0,2,1,False
1,3,11,33,136,False,7,5,5,0,0,6,4,False
2,3,68,52,116,False,24,1,29,0,1,2,3,False
3,2,33,33,33,False,12,2,0,0,1,1,1,False
4,2,23,30,30,False,9,1,2,0,0,4,3,False
5,2,41,39,78,False,17,2,16,0,1,1,3,False
6,3,45,22,19,False,2,2,4,0,1,5,2,False
7,2,38,35,76,False,5,2,10,0,0,3,4,False
8,3,45,59,166,False,7,4,31,0,0,5,3,False
9,1,68,41,72,False,21,1,22,0,0,3,2,False
10,2,5,33,125,False,10,4,5,0,1,1,1,False
11,3,7,35,80,False,14,2,15,0,1,1,3,False
12,1,41,38,37,False,8,2,9,0,1,3,1,False
13,2,57,54,115,False,30,4,23,0,1,3,4,False
14,2,9,46,25,False,3,1,8,0,1,2,1,False
15,1,29,38,75,False,12,5,1,0,0,4,2,False
16,3,60,57,162,False,38,2,30,0,0,1,3,False
17,3,34,48,49,False,3,2,6,0,1,3,3,False
18,2,1,24,20,False,3,1,3,0,0,1,1,False
19,1,26,29,77,False,3,4,2,0,0,4,4,False
20,3,6,30,16,False,7,3,1,0,1,1,2,False
21,1,68,52,120,False,17,1,24,0,0,2,1,False
22,3,53,33,101,False,10,5,4,0,1,2,4,False
23,3,55,48,67,False,19,1,25,0,0,3,1,False
24,3,14,43,36,False,18,1,5,0,0,5,3,False
25,2,1,21,33,False,0,2,0,0,1,3,3,False
26,2,42,40,37,False,7,2,8,0,1,1,4,False
27,3,25,33,31,False,11,1,5,0,0,4,3,False
28,1,9,21,17,False,1,2,2,0,1,3,1,False
29,2,13,33,19,False,9,4,0,0,1,2,2,False
30,1,56,37,36,False,6,1,13,0,1,2,2,False
31,1,71,53,155,False,27,5,12,0,0,2,4,False
32,1,35,50,140,False,26,2,21,0,1,4,3,False
33,1,11,27,55,False,8,5,0,0,0,3,2,False
34,2,60,46,163,False,13,3,24,0,0,2,4,False
35,3,20,35,52,False,11,4,0,0,0,2,2,False
36,2,54,60,211,False,38,4,25,0,0,1,4,False
37,1,44,57,186,False,1,2,17,0,0,2,3,False
38,1,11,41,39,False,0,1,1,0,1,2,3,False
39,2,72,57,22,False,34,2,35,1,1,1,3,False
40,3,10,41,30,False,7,1,7,0,0,1,3,False
41,2,15,28,29,False,0,2,4,0,1,1,3,False
42,2,27,28,23,False,4,2,8,0,0,5,1,False
43,1,9,36,62,False,14,4,10,0,0,6,4,False
44,1,64,43,76,False,20,4,20,0,1,4,3,False
45,1,65,41,74,False,3,4,16,0,0,2,2,False
46,1,49,51,63,False,27,4,19,0,0,5,2,False
47,3,47,41,36,False,0,4,8,0,0,2,4,False
48,3,9,34,33,False,9,2,8,0,1,4,1,False
49,1,5,36,29,False,14,2,9,0,1,1,3,False
50,2,30,34,27,False,4,2,1,0,0,5,1,False
51,1,56,52,49,False,28,2,12,0,0,4,2,False
52,3,10,22,24,False,0,4,0,0,0,1,4,False
53,1,7,26,26,False,3,2,2,0,0,5,1,False
54,1,52,27,47,False,6,3,5,0,0,2,1,False
55,2,36,45,94,False,1,2,18,0,1,5,1,False
56,3,27,34,21,False,8,3,4,0,1,1,2,False
57,1,58,62,27,False,36,1,0,0,0,2,1,False
58,2,41,52,30,False,27,2,2,0,1,1,3,False
59,2,47,40,127,False,16,4,12,0,1,4,2,False
60,2,55,39,137,False,15,2,20,0,1,2,3,False
61,2,56,50,80,False,1,2,24,0,1,4,4,False
62,3,35,55,30,False,24,2,2,0,0,1,1,False
63,2,69,51,438,False,11,4,23,0,1,2,4,False
64,2,44,39,79,False,16,2,16,0,0,1,4,False
